user	block	wpm	wer	delete_per_word	keyboard_type
16	3	27.78	6.25	0.50	wordwise
16	4	24.24	10.53	0.68	wordwise
17	1	21.50	23.68	0.68	wordwise
17	2	23.86	28.57	0.21	wordwise
17	3	24.66	26.92	0.38	wordwise
17	4	26.62	18.18	0.27	wordwise
1	1	44.01	0.00	0.11	wordwise
1	2	55.35	5.56	0.00	wordwise
1	3	58.35	6.25	0.00	wordwise
1	4	52.57	2.63	0.11	wordwise
2	1	26.17	3.57	0.14	wordwise
2	2	26.59	0.00	0.09	wordwise
2	3	24.91	3.12	0.25	wordwise
2	4	26.94	5.26	0.16	wordwise
3	1	20.12	0.00	0.37	wordwise
3	2	26.25	0.00	0.06	wordwise
3	3	26.84	3.57	0.04	wordwise
3	4	25.40	2.94	0.03	wordwise
4	1	26.77	0.00	0.26	wordwise
4	2	34.70	0.00	0.14	wordwise
4	3	29.14	0.00	0.24	wordwise
4	4	32.55	0.00	0.13	wordwise
5	1	32.26	7.89	0.37	wordwise
5	2	38.90	0.00	0.17	wordwise
5	3	36.32	3.12	0.22	wordwise
5	4	40.57	0.00	0.16	wordwise
6	1	25.95	0.00	0.71	wordwise
6	2	33.09	0.00	0.33	wordwise
6	3	37.64	0.00	0.34	wordwise
6	4	30.96	2.63	0.58	wordwise
7	1	26.87	0.00	0.16	wordwise
7	2	27.95	0.00	0.22	wordwise
7	3	27.57	6.25	0.34	wordwise
7	4	26.45	7.89	0.42	wordwise
8	1	22.16	0.00	0.26	wordwise
8	2	23.42	2.78	0.11	wordwise
8	3	28.28	0.00	0.00	wordwise
8	4	22.06	3.03	0.12	wordwise
9	1	27.76	18.42	0.32	wordwise
9	2	28.16	9.38	0.09	wordwise
9	3	29.49	21.88	0.19	wordwise
9	4	32.60	2.63	0.00	wordwise
10	1	33.01	2.63	0.24	arbitrary
10	2	36.43	5.56	0.33	arbitrary
10	3	43.61	0.00	0.16	arbitrary
10	4	39.75	2.63	0.29	arbitrary
11	1	25.05	15.15	0.09	arbitrary
11	2	28.73	0.00	0.17	arbitrary
11	3	28.68	3.12	0.31	arbitrary
11	4	29.07	6.90	0.14	arbitrary
12	1	32.72	2.63	0.08	arbitrary
12	2	36.00	0.00	0.17	arbitrary
12	3	30.72	3.12	0.44	arbitrary
12	4	30.81	5.26	0.39	arbitrary
13	1	26.98	0.00	0.37	arbitrary
13	2	28.58	0.00	0.28	arbitrary
13	3	44.60	0.00	0.06	arbitrary
13	4	44.83	2.63	0.05	arbitrary
15	1	24.18	0.00	0.48	arbitrary
15	2	25.50	0.00	0.39	arbitrary
15	3	40.79	0.00	0.06	arbitrary
15	4	34.34	0.00	0.26	arbitrary
16	1	31.36	15.79	0.26	arbitrary
16	2	24.51	9.68	0.42	arbitrary
16	3	30.65	7.69	0.38	arbitrary
16	4	33.68	2.63	0.16	arbitrary
17	1	20.65	14.29	0.43	arbitrary
17	2	24.48	0.00	0.38	arbitrary
17	3	25.60	0.00	0.48	arbitrary
17	4	22.30	6.06	0.45	arbitrary
1	1	54.16	7.89	0.00	arbitrary
1	2	54.36	0.00	0.00	arbitrary
1	3	56.16	0.00	0.00	arbitrary
1	4	41.76	2.63	0.16	arbitrary
2	1	29.26	0.00	0.15	arbitrary
2	2	20.63	5.56	0.31	arbitrary
2	3	18.26	0.00	0.66	arbitrary
2	4	21.24	0.00	0.42	arbitrary
3	1	24.11	2.63	0.21	arbitrary
3	2	17.78	3.70	0.33	arbitrary
3	3	25.42	3.57	0.18	arbitrary
3	4	23.41	2.63	0.32	arbitrary
4	1	35.23	0.00	0.03	arbitrary
4	2	24.58	2.78	0.25	arbitrary
4	3	31.90	6.90	0.07	arbitrary
4	4	34.88	10.53	0.00	arbitrary
5	1	47.07	0.00	0.00	arbitrary
5	2	38.35	0.00	0.11	arbitrary
5	3	51.08	6.25	0.03	arbitrary
5	4	40.34	3.03	0.09	arbitrary
6	1	30.98	0.00	0.32	arbitrary
6	2	42.37	0.00	0.03	arbitrary
6	3	39.32	3.12	0.19	arbitrary
6	4	39.81	0.00	0.18	arbitrary
7	1	26.09	0.00	0.47	arbitrary
7	2	27.27	0.00	0.33	arbitrary
7	3	24.55	6.25	0.69	arbitrary
7	4	32.53	0.00	0.39	arbitrary
8	1	15.48	16.67	0.07	arbitrary
8	2	17.80	0.00	0.18	arbitrary
8	3	18.69	6.90	0.31	arbitrary
8	4	21.35	12.50	0.17	arbitrary
9	1	27.52	2.94	0.21	arbitrary
9	2	25.57	19.44	0.28	arbitrary
9	3	31.79	28.57	0.21	arbitrary
9	4	31.49	13.16	0.16	arbitrary
